E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       689956.500000,      4941256.000000,            0.014000,            0.010000,            0.012000,            0.002000,            0.017000,
       689707.100000,      4941687.000000,            0.013000,            0.011000,            0.012000,            0.001000,            0.017000,
       706475.500000,      4960425.000000,            0.013000,            0.013000,            0.013000,            0.001000,            0.019000,
       706475.500000,      4960923.000000,            0.013000,            0.012000,            0.012000,            0.000000,            0.018000,
       706044.200000,      4960674.000000,            0.014000,            0.013000,            0.014000,            0.019000,            0.001000,
       690205.700000,      4941687.000000,            0.016000,            0.014000,            0.015000,            0.001000,            0.022000,
       690704.200000,      4941687.000000,            0.013000,            0.016000,            0.014000,            0.003000,            0.020000,
       690454.800000,      4942119.000000,            0.017000,            0.013000,            0.015000,            0.021000,            0.004000,
       706906.700000,      4960176.000000,            0.010000,            0.010000,            0.010000,            0.014000,            0.001000,
       706906.700000,      4960674.000000,            0.010000,            0.007000,            0.008000,            0.012000,            0.002000,
       706906.700000,      4959678.000000,            0.008000,            0.016000,            0.011000,            0.006000,            0.017000,
