E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       693198.000000,      4989517.000000,            0.466000,            0.321000,            0.386000,            0.552000,            0.121000,
       695690.700000,      4989517.000000,            0.278000,            0.405000,            0.335000,            0.485000,            0.074000,
       696189.300000,      4989517.000000,            0.275000,            0.495000,            0.369000,            0.550000,            0.137000,
       695939.800000,      4989949.000000,            0.260000,            0.471000,            0.350000,            0.521000,            0.132000,
       688959.400000,      4992539.000000,            0.154000,            0.234000,            0.190000,            0.066000,            0.272000,
       689208.800000,      4992107.000000,            0.537000,            0.435000,            0.483000,            0.049000,            0.689000,
       688460.900000,      4992539.000000,            0.149000,            0.237000,            0.188000,            0.274000,            0.053000,
       688710.300000,      4992107.000000,            0.687000,            0.520000,            0.598000,            0.090000,            0.857000,
       706044.200000,      4973121.000000,            0.502000,            0.401000,            0.449000,            0.051000,            0.640000,
       706044.200000,      4972623.000000,            0.617000,            0.411000,            0.504000,            0.122000,            0.731000,
       706475.500000,      4972872.000000,            0.586000,            0.472000,            0.526000,            0.745000,            0.105000,
       706044.200000,      4972126.000000,            0.690000,            0.312000,            0.464000,            0.244000,            0.717000,
       706475.500000,      4972374.000000,            0.686000,            0.484000,            0.576000,            0.822000,            0.170000,
       691452.300000,      4991676.000000,            0.720000,            0.553000,            0.631000,            0.088000,            0.903000,
       691203.000000,      4992107.000000,            0.578000,            0.370000,            0.463000,            0.665000,            0.169000,
       690953.800000,      4991676.000000,            0.680000,            0.540000,            0.606000,            0.071000,            0.865000,
       685469.700000,      4992539.000000,            0.231000,            0.287000,            0.257000,            0.367000,            0.028000,
       683974.100000,      4992539.000000,            0.298000,            0.358000,            0.326000,            0.058000,            0.462000,
       683724.900000,      4992107.000000,            0.848000,            0.731000,            0.787000,            1.113000,            0.120000,
       686716.100000,      4992107.000000,            0.988000,            0.717000,            0.842000,            1.199000,            0.232000,
       687214.700000,      4992107.000000,            0.895000,            0.655000,            0.766000,            1.090000,            0.206000,
       686965.300000,      4992539.000000,            0.143000,            0.242000,            0.186000,            0.079000,            0.270000,
       705612.900000,      4962915.000000,            0.351000,            0.194000,            0.261000,            0.382000,            0.124000,
       706044.200000,      4963163.000000,            0.237000,            0.225000,            0.231000,            0.002000,            0.326000,
       682478.500000,      4941256.000000,            0.136000,            0.190000,            0.161000,            0.045000,            0.229000,
       682229.100000,      4941687.000000,            0.742000,            0.452000,            0.579000,            0.177000,            0.850000,
       681979.900000,      4941256.000000,            0.129000,            0.094000,            0.110000,            0.156000,            0.030000,
       704319.100000,      4964658.000000,            0.354000,            0.356000,            0.355000,            0.019000,            0.502000,
       704319.100000,      4964160.000000,            0.306000,            0.180000,            0.235000,            0.077000,            0.346000,
       681480.000000,      4946436.000000,            0.332000,            0.394000,            0.362000,            0.061000,            0.512000,
       681230.600000,      4946867.000000,            0.554000,            0.311000,            0.415000,            0.152000,            0.617000,
       680981.500000,      4946436.000000,            0.292000,            0.426000,            0.353000,            0.511000,            0.078000,
       684223.200000,      4941687.000000,            0.444000,            0.373000,            0.407000,            0.576000,            0.069000,
       683973.900000,      4942119.000000,            0.296000,            0.201000,            0.244000,            0.349000,            0.079000,
       683724.700000,      4941687.000000,            0.363000,            0.402000,            0.382000,            0.046000,            0.540000,
       684721.800000,      4941687.000000,            0.512000,            0.303000,            0.394000,            0.129000,            0.581000,
       684472.400000,      4942119.000000,            0.281000,            0.176000,            0.222000,            0.320000,            0.085000,
       685220.300000,      4941687.000000,            0.455000,            0.273000,            0.352000,            0.112000,            0.519000,
       684971.000000,      4942119.000000,            0.257000,            0.183000,            0.217000,            0.310000,            0.062000,
       685718.900000,      4941687.000000,            0.389000,            0.298000,            0.341000,            0.049000,            0.488000,
       685469.500000,      4942119.000000,            0.239000,            0.240000,            0.239000,            0.338000,            0.010000,
       686466.800000,      4941256.000000,            0.103000,            0.112000,            0.108000,            0.011000,            0.152000,
       686217.400000,      4941687.000000,            0.376000,            0.465000,            0.419000,            0.083000,            0.593000,
       685968.200000,      4941256.000000,            0.101000,            0.114000,            0.107000,            0.014000,            0.151000,
       686965.300000,      4941256.000000,            0.100000,            0.114000,            0.107000,            0.015000,            0.151000,
       686715.900000,      4941687.000000,            0.261000,            0.343000,            0.299000,            0.072000,            0.425000,
       687463.800000,      4941256.000000,            0.107000,            0.115000,            0.111000,            0.157000,            0.000000,
       687214.500000,      4941687.000000,            0.240000,            0.326000,            0.280000,            0.074000,            0.398000,
       687962.400000,      4941256.000000,            0.096000,            0.105000,            0.101000,            0.143000,            0.002000,
       687713.000000,      4941687.000000,            0.194000,            0.252000,            0.221000,            0.052000,            0.313000,
       688460.900000,      4941256.000000,            0.116000,            0.156000,            0.135000,            0.193000,            0.022000,
       688211.500000,      4941687.000000,            0.257000,            0.254000,            0.255000,            0.010000,            0.361000,
       706044.200000,      4958682.000000,            0.322000,            0.297000,            0.309000,            0.437000,            0.032000,
       706044.200000,      4958184.000000,            0.400000,            0.154000,            0.249000,            0.161000,            0.398000,
       706475.500000,      4958433.000000,            0.390000,            0.128000,            0.223000,            0.173000,            0.372000,
       689458.000000,      4941256.000000,            0.126000,            0.135000,            0.130000,            0.185000,            0.000000,
       689208.600000,      4941687.000000,            0.420000,            0.560000,            0.485000,            0.695000,            0.076000,
       688959.400000,      4941256.000000,            0.107000,            0.106000,            0.107000,            0.004000,            0.151000,
       689956.500000,      4941256.000000,            0.133000,            0.167000,            0.149000,            0.031000,            0.211000,
       689707.100000,      4941687.000000,            0.376000,            0.457000,            0.414000,            0.076000,            0.587000,
       706475.500000,      4960425.000000,            0.415000,            0.400000,            0.407000,            0.008000,            0.576000,
       706475.500000,      4960923.000000,            0.285000,            0.303000,            0.294000,            0.416000,            0.001000,
       706044.200000,      4960674.000000,            0.312000,            0.266000,            0.288000,            0.020000,            0.410000,
       690205.700000,      4941687.000000,            0.344000,            0.406000,            0.374000,            0.532000,            0.026000,
       690704.200000,      4941687.000000,            0.383000,            0.383000,            0.383000,            0.017000,            0.541000,
       690454.800000,      4942119.000000,            0.348000,            0.393000,            0.370000,            0.525000,            0.014000,
       706906.700000,      4960176.000000,            0.374000,            0.108000,            0.201000,            0.335000,            0.199000,
       706906.700000,      4960674.000000,            0.445000,            0.112000,            0.223000,            0.386000,            0.248000,
       706906.700000,      4959678.000000,            0.347000,            0.075000,            0.162000,            0.292000,            0.202000,
