Station Code,Monitor ID,Repi (km),E_UTM [m],N_UTM [m],LON [°],LAT [°]
PPE,185,22.7180,674502.8000,4989086.0000,999.0000,999.0000
PPE,186,22.4425,674752.2000,4988654.0000,999.0000,999.0000
PPE,187,22.9405,675001.3000,4989086.0000,999.0000,999.0000
PPE,188,28.7705,681232.2000,4992107.0000,999.0000,999.0000
PPE,189,29.0623,681730.8000,4992107.0000,999.0000,999.0000
PPE,190,29.2670,681481.4000,4992539.0000,999.0000,999.0000
PPE,191,22.6614,675998.7000,4988222.0000,999.0000,999.0000
PPE,192,22.4193,676248.1000,4987791.0000,999.0000,999.0000
PPE,193,22.9170,676497.2000,4988222.0000,999.0000,999.0000
PPE,194,29.9701,683226.4000,4992107.0000,999.0000,999.0000
PPE,195,30.1564,682977.0000,4992539.0000,999.0000,999.0000
PPE,196,29.6622,682727.8000,4992107.0000,999.0000,999.0000
PPE,197,23.4518,677494.3000,4988222.0000,999.0000,999.0000
PPE,198,23.2340,677743.7000,4987791.0000,999.0000,999.0000
PPE,199,23.7303,677992.8000,4988222.0000,999.0000,999.0000
PPE,200,41.3254,705612.9000,4963910.0000,999.0000,999.0000
PPE,201,41.3855,705612.9000,4963412.0000,999.0000,999.0000
PPE,202,41.7829,706044.2000,4963661.0000,999.0000,999.0000
PPE,203,40.4132,704750.4000,4964409.0000,999.0000,999.0000
PPE,204,40.4686,704750.4000,4963911.0000,999.0000,999.0000
PPE,205,40.8688,705181.7000,4964160.0000,999.0000,999.0000
PPE,206,31.5828,685719.1000,4992107.0000,999.0000,999.0000
PPE,207,31.9189,686217.6000,4992107.0000,999.0000,999.0000
PPE,208,32.0706,685968.2000,4992539.0000,999.0000,999.0000
PPE,209,31.9105,688711.1000,4989517.0000,999.0000,999.0000
PPE,210,32.0078,688461.6000,4989949.0000,999.0000,999.0000
PPE,211,31.5349,688212.5000,4989517.0000,999.0000,999.0000
PPE,212,30.4634,683475.6000,4992539.0000,999.0000,999.0000
PPE,213,34.0775,690455.5000,4990812.0000,999.0000,999.0000
PPE,214,34.1724,690206.1000,4991244.0000,999.0000,999.0000
PPE,215,33.7003,689957.0000,4990812.0000,999.0000,999.0000
PPE,216,43.1647,706044.2000,4980590.0000,999.0000,999.0000
PPE,217,43.6481,706475.5000,4980839.0000,999.0000,999.0000
PPE,218,43.3050,706044.2000,4981088.0000,999.0000,999.0000
PPE,219,34.4980,689458.0000,4992539.0000,999.0000,999.0000
PPE,220,34.3823,689707.3000,4992107.0000,999.0000,999.0000
PPE,221,34.8595,689956.5000,4992539.0000,999.0000,999.0000
PPE,222,38.7808,696687.5000,4990381.0000,999.0000,999.0000
PPE,223,39.1948,697186.0000,4990381.0000,999.0000,999.0000
PPE,224,39.2292,696936.6000,4990812.0000,999.0000,999.0000
PPE,225,38.9719,695689.8000,4992107.0000,999.0000,999.0000
PPE,226,39.0357,695440.4000,4992539.0000,999.0000,999.0000
PPE,227,38.5749,695191.3000,4992107.0000,999.0000,999.0000
PPE,228,35.8841,693447.1000,4989949.0000,999.0000,999.0000
PPE,229,35.4839,692948.5000,4989949.0000,999.0000,999.0000
PPE,230,35.4278,693198.0000,4989517.0000,999.0000,999.0000
PPE,231,37.4714,695690.7000,4989517.0000,999.0000,999.0000
PPE,232,37.8867,696189.3000,4989517.0000,999.0000,999.0000
