E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],
       704750.400000,      4963911.000000,            0.609000,            0.219000,            0.365000,
       705181.700000,      4964160.000000,            0.585000,            0.333000,            0.442000,
       685719.100000,      4992107.000000,            2.006000,            1.505000,            1.737000,
       686217.600000,      4992107.000000,            2.298000,            1.345000,            1.758000,
       685968.200000,      4992539.000000,            0.234000,            0.265000,            0.249000,
       688711.100000,      4989517.000000,            1.965000,            0.706000,            1.178000,
       688461.600000,      4989949.000000,            2.126000,            0.883000,            1.370000,
       688212.500000,      4989517.000000,            1.778000,            0.795000,            1.188000,
       683475.600000,      4992539.000000,            0.286000,            0.461000,            0.363000,
       690455.500000,      4990812.000000,            0.750000,            0.498000,            0.611000,
       690206.100000,      4991244.000000,            1.855000,            0.341000,            0.795000,
       689957.000000,      4990812.000000,            1.004000,            0.425000,            0.653000,
       706044.200000,      4980590.000000,            0.884000,            0.688000,            0.780000,
       706475.500000,      4980839.000000,            1.117000,            0.590000,            0.812000,
       706044.200000,      4981088.000000,            0.648000,            0.280000,            0.426000,
       689458.000000,      4992539.000000,            0.074000,            0.540000,            0.200000,
       689707.300000,      4992107.000000,            1.192000,            0.597000,            0.843000,
       689956.500000,      4992539.000000,            0.403000,            0.273000,            0.332000,
       696687.500000,      4990381.000000,            0.397000,            0.653000,            0.509000,
       697186.000000,      4990381.000000,            0.396000,            0.989000,            0.625000,
       696936.600000,      4990812.000000,            0.763000,            0.962000,            0.857000,
       695689.800000,      4992107.000000,            1.834000,            0.739000,            1.164000,
       695440.400000,      4992539.000000,            0.087000,            0.152000,            0.115000,
       695191.300000,      4992107.000000,            1.316000,            0.773000,            1.009000,
       693447.100000,      4989949.000000,            0.824000,            0.595000,            0.700000,
       692948.500000,      4989949.000000,            0.906000,            0.562000,            0.713000,
       693198.000000,      4989517.000000,            0.966000,            0.585000,            0.752000,
       695690.700000,      4989517.000000,            0.527000,            0.675000,            0.596000,
       696189.300000,      4989517.000000,            0.497000,            0.718000,            0.597000,
       695939.800000,      4989949.000000,            0.510000,            0.824000,            0.648000,
       688959.400000,      4992539.000000,            0.489000,            0.227000,            0.333000,
       689208.800000,      4992107.000000,            1.220000,            0.759000,            0.962000,
       688460.900000,      4992539.000000,            0.407000,            0.238000,            0.311000,
       688710.300000,      4992107.000000,            1.637000,            0.955000,            1.251000,
       706044.200000,      4973121.000000,            0.681000,            0.414000,            0.531000,
       706044.200000,      4972623.000000,            0.864000,            0.454000,            0.626000,
       706475.500000,      4972872.000000,            0.635000,            0.463000,            0.542000,
       706044.200000,      4972126.000000,            0.991000,            0.283000,            0.530000,
       706475.500000,      4972374.000000,            0.828000,            0.501000,            0.644000,
       691452.300000,      4991676.000000,            1.401000,            1.011000,            1.190000,
       691203.000000,      4992107.000000,            1.165000,            0.619000,            0.849000,
       690953.800000,      4991676.000000,            1.366000,            1.026000,            1.184000,
       685469.700000,      4992539.000000,            0.310000,            0.304000,            0.307000,
       683974.100000,      4992539.000000,            0.139000,            0.354000,            0.222000,
       683724.900000,      4992107.000000,            1.825000,            1.393000,            1.594000,
       686716.100000,      4992107.000000,            2.325000,            1.353000,            1.774000,
       687214.700000,      4992107.000000,            2.186000,            1.220000,            1.633000,
       686965.300000,      4992539.000000,            0.488000,            0.247000,            0.347000,
       705612.900000,      4962915.000000,            0.435000,            0.278000,            0.348000,
       706044.200000,      4963163.000000,            0.311000,            0.235000,            0.271000,
       682478.500000,      4941256.000000,            0.087000,            0.297000,            0.160000,
       682229.100000,      4941687.000000,            1.225000,            0.915000,            1.059000,
       681979.900000,      4941256.000000,            0.055000,            0.047000,            0.051000,
       704319.100000,      4964658.000000,            0.468000,            0.417000,            0.442000,
       704319.100000,      4964160.000000,            0.404000,            0.194000,            0.280000,
       681480.000000,      4946436.000000,            0.527000,            0.588000,            0.556000,
       681230.600000,      4946867.000000,            1.026000,            0.439000,            0.671000,
       680981.500000,      4946436.000000,            0.491000,            0.645000,            0.563000,
       684223.200000,      4941687.000000,            0.715000,            0.630000,            0.671000,
       683973.900000,      4942119.000000,            0.459000,            0.338000,            0.394000,
       683724.700000,      4941687.000000,            0.629000,            0.762000,            0.692000,
       684721.800000,      4941687.000000,            0.780000,            0.507000,            0.629000,
       684472.400000,      4942119.000000,            0.435000,            0.250000,            0.330000,
       685220.300000,      4941687.000000,            0.652000,            0.461000,            0.548000,
       684971.000000,      4942119.000000,            0.393000,            0.246000,            0.311000,
       685718.900000,      4941687.000000,            0.583000,            0.457000,            0.516000,
       685469.500000,      4942119.000000,            0.469000,            0.327000,            0.392000,
       686466.800000,      4941256.000000,            0.292000,            0.129000,            0.194000,
       686217.400000,      4941687.000000,            0.600000,            0.719000,            0.657000,
       685968.200000,      4941256.000000,            0.054000,            0.124000,            0.082000,
       686965.300000,      4941256.000000,            0.216000,            0.125000,            0.164000,
       686715.900000,      4941687.000000,            0.427000,            0.516000,            0.470000,
       687463.800000,      4941256.000000,            0.243000,            0.142000,            0.186000,
       687214.500000,      4941687.000000,            0.398000,            0.513000,            0.452000,
       687962.400000,      4941256.000000,            0.065000,            0.066000,            0.065000,
       687713.000000,      4941687.000000,            0.312000,            0.432000,            0.367000,
       688460.900000,      4941256.000000,            0.166000,            0.323000,            0.232000,
       688211.500000,      4941687.000000,            0.428000,            0.413000,            0.420000,
       706044.200000,      4958682.000000,            0.369000,            0.380000,            0.374000,
       706044.200000,      4958184.000000,            0.520000,            0.185000,            0.310000,
       706475.500000,      4958433.000000,            0.531000,            0.177000,            0.306000,
       689458.000000,      4941256.000000,            0.144000,            0.084000,            0.110000,
       689208.600000,      4941687.000000,            0.711000,            0.936000,            0.816000,
       688959.400000,      4941256.000000,            0.109000,            0.112000,            0.110000,
       689956.500000,      4941256.000000,            0.051000,            0.196000,            0.100000,
       689707.100000,      4941687.000000,            0.575000,            0.784000,            0.671000,
       706475.500000,      4960425.000000,            0.495000,            0.460000,            0.477000,
       706475.500000,      4960923.000000,            0.560000,            0.347000,            0.441000,
       706044.200000,      4960674.000000,            0.329000,            0.289000,            0.308000,
       690205.700000,      4941687.000000,            0.515000,            0.706000,            0.603000,
       690704.200000,      4941687.000000,            0.584000,            0.654000,            0.618000,
       690454.800000,      4942119.000000,            0.554000,            0.483000,            0.517000,
       706906.700000,      4960176.000000,            0.158000,            0.118000,            0.136000,
       706906.700000,      4960674.000000,            0.185000,            0.075000,            0.118000,
       706906.700000,      4959678.000000,            0.157000,            0.064000,            0.100000,
       706475.500000,      4959927.000000,            0.485000,            0.441000,            0.463000,
       706906.700000,      4959180.000000,            0.121000,            0.068000,            0.091000,
       706475.500000,      4959429.000000,            0.442000,            0.249000,            0.332000,
       706475.500000,      4958931.000000,            0.334000,            0.498000,            0.408000,
       706906.700000,      4958682.000000,            0.241000,            0.051000,            0.111000,
       706906.700000,      4958184.000000,            0.074000,            0.064000,            0.069000,
       693196.900000,      4941687.000000,            0.241000,            0.308000,            0.273000,
       693695.400000,      4941687.000000,            0.298000,            0.227000,            0.260000,
       693446.000000,      4942119.000000,            0.436000,            0.335000,            0.382000,
       693446.300000,      4941256.000000,            0.137000,            0.268000,            0.191000,
       693944.800000,      4941256.000000,            0.094000,            0.209000,            0.140000,
       694443.300000,      4941256.000000,            0.043000,            0.124000,            0.073000,
       694194.000000,      4941687.000000,            0.342000,            0.321000,            0.331000,
       694941.900000,      4941256.000000,            0.069000,            0.177000,            0.111000,
       694692.500000,      4941687.000000,            0.438000,            0.283000,            0.352000,
       694941.400000,      4942982.000000,            0.248000,            0.250000,            0.249000,
       695439.900000,      4942982.000000,            0.274000,            0.197000,            0.232000,
       695190.500000,      4943414.000000,            0.380000,            0.239000,            0.301000,
       695191.000000,      4941687.000000,            0.392000,            0.329000,            0.359000,
       695689.600000,      4941687.000000,            0.348000,            0.433000,            0.389000,
       695440.200000,      4942119.000000,            0.384000,            0.380000,            0.382000,
       696188.100000,      4941687.000000,            0.324000,            0.442000,            0.379000,
       695938.700000,      4942119.000000,            0.324000,            0.330000,            0.327000,
       705612.900000,      4951463.000000,            0.355000,            0.240000,            0.292000,
       705612.900000,      4950965.000000,            0.320000,            0.213000,            0.261000,
       706044.200000,      4951214.000000,            0.324000,            0.190000,            0.248000,
       696437.500000,      4941256.000000,            0.073000,            0.123000,            0.095000,
       696936.000000,      4941256.000000,            0.082000,            0.115000,            0.098000,
       696686.600000,      4941687.000000,            0.361000,            0.324000,            0.342000,
       706044.200000,      4950218.000000,            0.180000,            0.183000,            0.182000,
       706044.200000,      4949720.000000,            0.421000,            0.256000,            0.328000,
       706475.500000,      4949969.000000,            0.296000,            0.183000,            0.232000,
       697185.200000,      4941687.000000,            0.349000,            0.405000,            0.376000,
       697683.700000,      4941687.000000,            0.197000,            0.368000,            0.269000,
       697434.300000,      4942119.000000,            0.220000,            0.262000,            0.240000,
       698182.200000,      4941687.000000,            0.139000,            0.386000,            0.232000,
       697932.800000,      4942119.000000,            0.194000,            0.156000,            0.174000,
       706906.700000,      4952209.000000,            0.096000,            0.152000,            0.121000,
       706906.700000,      4952707.000000,            0.035000,            0.367000,            0.114000,
       706475.500000,      4952458.000000,            0.354000,            0.167000,            0.243000,
       698930.200000,      4941256.000000,            0.126000,            0.097000,            0.111000,
       698680.800000,      4941687.000000,            0.197000,            0.293000,            0.240000,
       698431.600000,      4941256.000000,            0.085000,            0.052000,            0.067000,
       706475.500000,      4950965.000000,            0.343000,            0.233000,            0.283000,
       706475.500000,      4951463.000000,            0.221000,            0.133000,            0.172000,
       699677.600000,      4942551.000000,            0.151000,            0.218000,            0.181000,
       699428.200000,      4942982.000000,            0.203000,            0.364000,            0.272000,
       699179.000000,      4942551.000000,            0.174000,            0.208000,            0.190000,
       706906.700000,      4951214.000000,            0.107000,            0.255000,            0.166000,
       706906.700000,      4950716.000000,            0.141000,            0.222000,            0.177000,
       700425.800000,      4941256.000000,            0.122000,            0.074000,            0.095000,
       700176.400000,      4941687.000000,            0.475000,            0.288000,            0.370000,
       699927.200000,      4941256.000000,            0.342000,            0.119000,            0.202000,
       706906.700000,      4949720.000000,            0.122000,            0.085000,            0.102000,
       706475.500000,      4949471.000000,            0.452000,            0.350000,            0.398000,
       706906.700000,      4949222.000000,            0.440000,            0.095000,            0.205000,
       701173.200000,      4942551.000000,            0.273000,            0.188000,            0.226000,
       700923.700000,      4942982.000000,            0.216000,            0.308000,            0.258000,
       700674.600000,      4942551.000000,            0.208000,            0.099000,            0.144000,
       701422.800000,      4941256.000000,            0.166000,            0.085000,            0.119000,
       701173.400000,      4941687.000000,            0.259000,            0.339000,            0.296000,
       700924.300000,      4941256.000000,            0.075000,            0.081000,            0.078000,
       705612.600000,      4945987.000000,            0.165000,            0.309000,            0.226000,
       706044.100000,      4946235.000000,            0.277000,            0.276000,            0.276000,
       705612.900000,      4946484.000000,            0.190000,            0.223000,            0.206000,
       702170.500000,      4941687.000000,            0.263000,            0.336000,            0.297000,
       701921.100000,      4942119.000000,            0.280000,            0.186000,            0.228000,
       701672.000000,      4941687.000000,            0.229000,            0.325000,            0.273000,
       702669.000000,      4941687.000000,            0.597000,            0.214000,            0.357000,
       702419.600000,      4942119.000000,            0.321000,            0.339000,            0.330000,
       706475.500000,      4947480.000000,            0.410000,            0.460000,            0.434000,
       706044.200000,      4947231.000000,            0.421000,            0.232000,            0.313000,
       706475.500000,      4946982.000000,            0.411000,            0.408000,            0.409000,
       703167.600000,      4941687.000000,            0.249000,            0.151000,            0.194000,
       702918.200000,      4942119.000000,            0.315000,            0.249000,            0.280000,
       702918.400000,      4941256.000000,            0.364000,            0.151000,            0.235000,
       703417.000000,      4941256.000000,            0.129000,            0.190000,            0.157000,
       706475.500000,      4946484.000000,            0.236000,            0.697000,            0.405000,
       706475.400000,      4945986.000000,            0.242000,            0.273000,            0.257000,
       706906.700000,      4946732.000000,            0.081000,            0.102000,            0.091000,
       706906.700000,      4946235.000000,            0.090000,            0.090000,            0.090000,
       705604.900000,      4944493.000000,            0.415000,            0.271000,            0.335000,
       705165.500000,      4944246.000000,            0.304000,            0.544000,            0.407000,
       705595.700000,      4943995.000000,            0.247000,            0.598000,            0.384000,
       706906.700000,      4945737.000000,            0.129000,            0.173000,            0.149000,
       704663.000000,      4941687.000000,            0.218000,            0.432000,            0.307000,
       705162.700000,      4941687.000000,            0.305000,            0.380000,            0.340000,
       704917.200000,      4942115.000000,            0.168000,            0.291000,            0.221000,
       706906.700000,      4944741.000000,            0.110000,            0.197000,            0.147000,
       706473.700000,      4944492.000000,            0.306000,            0.286000,            0.296000,
       706906.700000,      4944243.000000,            0.282000,            0.142000,            0.200000,
       705672.000000,      4941690.000000,            0.309000,            0.429000,            0.364000,
       705419.900000,      4942116.000000,            0.330000,            0.181000,            0.245000,
       706026.600000,      4943742.000000,            0.311000,            0.426000,            0.364000,
       705577.200000,      4943502.000000,            0.392000,            0.353000,            0.372000,
       706007.100000,      4943234.000000,            0.401000,            0.261000,            0.323000,
       706171.000000,      4941654.000000,            0.363000,            0.219000,            0.282000,
       705977.900000,      4942163.000000,            0.498000,            0.393000,            0.443000,
       706906.700000,      4943247.000000,            0.095000,            0.401000,            0.195000,
       706460.700000,      4942987.000000,            0.469000,            0.221000,            0.322000,
       706906.700000,      4942749.000000,            0.106000,            0.180000,            0.138000,
       706906.700000,      4942252.000000,            0.260000,            0.171000,            0.211000,
       706497.800000,      4941980.000000,            0.458000,            0.229000,            0.324000,
       706459.600000,      4942476.000000,            0.905000,            0.147000,            0.365000,
       706474.900000,      4944990.000000,            0.308000,            0.201000,            0.249000,
       704750.500000,      4947978.000000,            0.397000,            0.334000,            0.364000,
       704319.500000,      4947730.000000,            0.236000,            0.399000,            0.307000,
       704750.600000,      4947481.000000,            0.304000,            0.423000,            0.359000,
