E-UTM [m],N-UTM [m],Rew [m/s2],Rns [m/s2],Rgh [m/s2],Rp [m/s2],Ro [m/s2],
       661541.100000,      4988222.000000,            0.045000,            0.128000,            0.076000,            0.062000,            0.120000,
       668270.300000,      4992107.000000,            0.043000,            0.065000,            0.053000,            0.077000,            0.013000,
       668020.900000,      4992539.000000,            0.031000,            0.049000,            0.039000,            0.014000,            0.057000,
       667771.800000,      4992107.000000,            0.044000,            0.062000,            0.052000,            0.015000,            0.074000,
       662538.200000,      4988222.000000,            0.034000,            0.109000,            0.060000,            0.056000,            0.099000,
       662787.600000,      4987791.000000,            0.043000,            0.105000,            0.067000,            0.048000,            0.103000,
       663036.700000,      4988222.000000,            0.042000,            0.106000,            0.067000,            0.049000,            0.103000,
       669765.900000,      4992107.000000,            0.033000,            0.050000,            0.041000,            0.014000,            0.059000,
       669516.500000,      4992539.000000,            0.030000,            0.040000,            0.035000,            0.008000,            0.049000,
       669267.400000,      4992107.000000,            0.044000,            0.060000,            0.052000,            0.014000,            0.073000,
       664033.800000,      4988222.000000,            0.051000,            0.097000,            0.070000,            0.036000,            0.104000,
       664283.200000,      4987791.000000,            0.054000,            0.099000,            0.073000,            0.109000,            0.028000,
       664532.300000,      4988222.000000,            0.055000,            0.101000,            0.074000,            0.111000,            0.029000,
       671261.500000,      4992107.000000,            0.046000,            0.046000,            0.046000,            0.002000,            0.065000,
       671012.200000,      4992539.000000,            0.033000,            0.037000,            0.035000,            0.049000,            0.001000,
       670763.000000,      4992107.000000,            0.036000,            0.052000,            0.043000,            0.063000,            0.009000,
       665529.400000,      4988222.000000,            0.063000,            0.089000,            0.075000,            0.108000,            0.014000,
       665778.800000,      4987791.000000,            0.048000,            0.106000,            0.071000,            0.044000,            0.107000,
       666027.900000,      4988222.000000,            0.055000,            0.092000,            0.071000,            0.105000,            0.023000,
       672757.100000,      4992107.000000,            0.039000,            0.049000,            0.044000,            0.062000,            0.005000,
       672507.800000,      4992539.000000,            0.030000,            0.039000,            0.034000,            0.049000,            0.004000,
       672258.600000,      4992107.000000,            0.039000,            0.044000,            0.041000,            0.005000,            0.059000,
       667025.000000,      4988222.000000,            0.053000,            0.087000,            0.068000,            0.100000,            0.020000,
       667274.400000,      4987791.000000,            0.043000,            0.086000,            0.061000,            0.092000,            0.027000,
       667523.500000,      4988222.000000,            0.055000,            0.085000,            0.068000,            0.099000,            0.018000,
       674252.700000,      4992107.000000,            0.048000,            0.042000,            0.045000,            0.002000,            0.064000,
       674003.400000,      4992539.000000,            0.041000,            0.050000,            0.045000,            0.009000,            0.064000,
       673754.200000,      4992107.000000,            0.040000,            0.051000,            0.045000,            0.010000,            0.064000,
       668520.600000,      4988222.000000,            0.060000,            0.091000,            0.074000,            0.026000,            0.106000,
       668770.000000,      4987791.000000,            0.047000,            0.098000,            0.068000,            0.040000,            0.101000,
       669019.100000,      4988222.000000,            0.049000,            0.108000,            0.073000,            0.113000,            0.038000,
       675748.300000,      4992107.000000,            0.042000,            0.043000,            0.043000,            0.003000,            0.060000,
       675499.000000,      4992539.000000,            0.032000,            0.032000,            0.032000,            0.045000,            0.002000,
       675249.800000,      4992107.000000,            0.035000,            0.054000,            0.043000,            0.016000,            0.062000,
       670016.200000,      4988222.000000,            0.044000,            0.081000,            0.060000,            0.089000,            0.024000,
       670265.600000,      4987791.000000,            0.051000,            0.070000,            0.060000,            0.016000,            0.085000,
       670514.700000,      4988222.000000,            0.055000,            0.082000,            0.067000,            0.023000,            0.097000,
       677243.900000,      4992107.000000,            0.041000,            0.038000,            0.039000,            0.055000,            0.004000,
       676994.600000,      4992539.000000,            0.033000,            0.034000,            0.033000,            0.002000,            0.047000,
       676745.400000,      4992107.000000,            0.038000,            0.050000,            0.043000,            0.062000,            0.006000,
       671511.800000,      4988222.000000,            0.064000,            0.077000,            0.071000,            0.101000,            0.006000,
       671761.200000,      4987791.000000,            0.043000,            0.070000,            0.055000,            0.081000,            0.017000,
       672010.300000,      4988222.000000,            0.062000,            0.075000,            0.068000,            0.097000,            0.006000,
       678739.600000,      4992107.000000,            0.036000,            0.042000,            0.039000,            0.055000,            0.002000,
       678490.200000,      4992539.000000,            0.032000,            0.033000,            0.033000,            0.046000,            0.001000,
       678241.000000,      4992107.000000,            0.039000,            0.043000,            0.041000,            0.005000,            0.058000,
       677493.100000,      4941256.000000,            0.033000,            0.024000,            0.028000,            0.005000,            0.041000,
       677991.700000,      4941256.000000,            0.028000,            0.032000,            0.030000,            0.043000,            0.001000,
       677742.300000,      4941687.000000,            0.035000,            0.037000,            0.036000,            0.051000,            0.000000,
       676993.200000,      4946436.000000,            0.036000,            0.047000,            0.041000,            0.059000,            0.006000,
       676743.800000,      4946868.000000,            0.037000,            0.045000,            0.041000,            0.007000,            0.058000,
       676494.700000,      4946436.000000,            0.043000,            0.041000,            0.042000,            0.001000,            0.059000,
       674502.800000,      4989086.000000,            0.054000,            0.059000,            0.057000,            0.080000,            0.001000,
       674752.200000,      4988654.000000,            0.047000,            0.060000,            0.053000,            0.076000,            0.007000,
       675001.300000,      4989086.000000,            0.040000,            0.062000,            0.050000,            0.018000,            0.072000,
       681232.200000,      4992107.000000,            0.038000,            0.033000,            0.035000,            0.050000,            0.005000,
       681730.800000,      4992107.000000,            0.038000,            0.030000,            0.034000,            0.048000,            0.007000,
       681481.400000,      4992539.000000,            0.027000,            0.027000,            0.027000,            0.002000,            0.038000,
       675998.700000,      4988222.000000,            0.049000,            0.059000,            0.054000,            0.077000,            0.004000,
       676248.100000,      4987791.000000,            0.041000,            0.065000,            0.051000,            0.075000,            0.015000,
       676497.200000,      4988222.000000,            0.048000,            0.055000,            0.051000,            0.073000,            0.003000,
       683226.400000,      4992107.000000,            0.035000,            0.032000,            0.033000,            0.047000,            0.004000,
       682977.000000,      4992539.000000,            0.032000,            0.025000,            0.028000,            0.040000,            0.006000,
       682727.800000,      4992107.000000,            0.037000,            0.032000,            0.035000,            0.002000,            0.049000,
       677494.300000,      4988222.000000,            0.044000,            0.047000,            0.046000,            0.065000,            0.000000,
       677743.700000,      4987791.000000,            0.043000,            0.055000,            0.048000,            0.069000,            0.007000,
       677992.800000,      4988222.000000,            0.042000,            0.043000,            0.042000,            0.003000,            0.060000,
       705612.900000,      4963910.000000,            0.023000,            0.018000,            0.021000,            0.029000,            0.005000,
       705612.900000,      4963412.000000,            0.018000,            0.018000,            0.018000,            0.025000,            0.001000,
       706044.200000,      4963661.000000,            0.018000,            0.022000,            0.020000,            0.028000,            0.002000,
       704750.400000,      4964409.000000,            0.019000,            0.021000,            0.020000,            0.002000,            0.028000,
       704750.400000,      4963911.000000,            0.020000,            0.021000,            0.021000,            0.029000,            0.001000,
       705181.700000,      4964160.000000,            0.030000,            0.020000,            0.025000,            0.006000,            0.036000,
       685719.100000,      4992107.000000,            0.033000,            0.037000,            0.035000,            0.050000,            0.002000,
       686217.600000,      4992107.000000,            0.026000,            0.031000,            0.029000,            0.041000,            0.002000,
       685968.200000,      4992539.000000,            0.027000,            0.020000,            0.023000,            0.033000,            0.006000,
       688711.100000,      4989517.000000,            0.035000,            0.031000,            0.033000,            0.047000,            0.004000,
       688461.600000,      4989949.000000,            0.036000,            0.030000,            0.033000,            0.002000,            0.047000,
       688212.500000,      4989517.000000,            0.030000,            0.038000,            0.034000,            0.008000,            0.048000,
